Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,No.
6,100nF,"C1,C2,C3,C7,C11,C21",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(三星),C1525,LCSC,1
1,33pF,C4,C0402,33pF,0402CG330J500NT,FH(风华),C1562,LCSC,2
4,10uF,"C5,C10,C16,C20",C0402,10uF,CL05A106MQ5NUNC,SAMSUNG(三星),C15525,LCSC,3
4,1uF,"C6,C9,C15,C19",C0402,1uF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC,4
1,47uF,C8,C0805,47uF,CL21A476MQYNNNE,SAMSUNG(三星),C16780,LCSC,5
1,6.8pF,C12,C0402,6.8pF,CC0402CRNPO9BN6R8,YAGEO(国巨),C189470,LCSC,6
1,100pF,C13,C0402,100pF,0402CG101J500NT,FH(风华),C1546,LCSC,7
3,22uF,"C14,C18,C22",CAP-SMD_L3.5-W2.8-R-RD,22uF,TAJB226K020RNJ,Kyocera AVX,C7199,LCSC,8
3,22uF,"C17,C23,C24",C1206,22uF,CL31A226KAHNNNE,SAMSUNG(三星),C12891,LCSC,9
1,WJ15EDGRC-3.81-4P,CN1,CONN-TH_WJ15EDGRC-3.81-4P,,WJ15EDGRC-3.81-4P,KANGNEX(康奈克斯电气),C7245,LCSC,10
1,WJ15EDGVC-3.81-2P,CN2,CONN-TH_WJ15EDGVC-3.81-2P,,WJ15EDGVC-3.81-2P,KANGNEX(康奈克斯电气),C8396,LCSC,11
4,SMBJ6.5CA/TR13,"D1,D2,D3,D5",SMB_L4.6-W3.6-LS5.3-BI,,SMBJ6.5CA/TR13,Brightking(君耀电子),C78428,LCSC,12
1,1N4148W,D4,SOD-123F_L2.7-W1.6-LS3.8-RD,,1N4148W,ST(先科),C81598,LCSC,13
5,SS54,"D6,D7,D8,D9,D10",SMA_L4.4-W2.8-LS5.4-R-RD,,SS54,MDD(辰达半导体),C22452,LCSC,14
4,SMD1812P010TF,"F1,F2,F3,F4",F1812,,SMD1812P010TF,RUILON(瑞隆源),C20993,LCSC,15
1,KT-0805G,LED1,LED0805-R-RD,,KT-0805G,KENTO,C2297,LCSC,16
1,NCD0805R1,LED2,LED0805-R-RD,,NCD0805R1,国星光电,C84256,LCSC,17
1,IRF7103TRPBF,Q1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,IRF7103TRPBF,Infineon(英飞凌),C27080,LCSC,18
4,560Ω,"R1,R3,R4,R7",R0603,560Ω,0603WAF5600T5E,UNI-ROYAL(厚声),C23204,LCSC,19
1,4.7kΩ,R2,R0402,4.7kΩ,0402WGF4701TCE,UNI-ROYAL(厚声),C25900,LCSC,20
1,56kΩ,R5,R0603,56kΩ,0603WAF5602T5E,UNI-ROYAL(厚声),C23206,LCSC,21
2,2.2kΩ,"R6,R8",R0402,2.2kΩ,0402WGF2201TCE,UNI-ROYAL(厚声),C25879,LCSC,22
2,120Ω,"R9,R10",R0603,120Ω,0603WAF1200T5E,UNI-ROYAL(厚声),C22787,LCSC,23
1,27.4kΩ,R11,R0402,27.4kΩ,0402WGF2742TCE,UNI-ROYAL(厚声),C26971,LCSC,24
1,169kΩ,R12,R0402,169kΩ,RC-02W1693FT,FH(风华),C304580,LCSC,25
1,86.6kΩ,R13,R0402,86.6kΩ,AC0402FR-0786K6L,YAGEO(国巨),C227252,LCSC,26
1,10kΩ,R14,R0402,10kΩ,0402WGF1002TCE,UNI-ROYAL(厚声),C25744,LCSC,27
1,118kΩ,R15,R0402,118kΩ,0402WGF1183TCE,UNI-ROYAL(厚声),C25748,LCSC,28
2,470Ω,"R16,R18",R0402,470Ω,0402WGF4700TCE,UNI-ROYAL(厚声),C25117,LCSC,29
2,49.9Ω,"R17,R19",R0402,49.9Ω,0402WGF499JTCE,UNI-ROYAL(厚声),C25120,LCSC,30
1,R-RJ45R10P-B000,RJ1,RJ45-TH_R-RJ45R10P-B000,,R-RJ45R10P-B000,Ckmtw(灿科盟),C386758,LCSC,31
1,DSWB06LHGET,SW1,SW-TH_DSWB06LHGET,,DSWB06LHGET,YE,C99416,LCSC,32
1,ISO35TDWR,U1,SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,,ISO35TDWR,TI(德州仪器),C191361,LCSC,33
1,"74HC04D,653",U2,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,,"74HC04D,653",Nexperia(安世),C5590,LCSC,34
1,470nH,U3,IND-SMD_L2.0-W1.6,470nH,FTC201610SR47MBCA,cjiang(长江微电),C5832340,LCSC,35
1,AMS1117-3.3V,U4,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,,AMS1117-3.3V,WPMtek(维攀),C2688239,LCSC,36
1,TPS61089RNRR,U5,VQFN-HR_L2.5-W2.0-P0.50-TL-EP,,TPS61089RNRR,TI(德州仪器),C165129,LCSC,37
1,FC-DT8010-101-T,U6,IND-TH_FC-DT8010-101-T,,FC-DT8010-101-T,FC(方成),C28314501,LCSC,38
2,L78M05ABDT-TR,"U7,U9",TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL,,L78M05ABDT-TR,ST(意法半导体),C58069,LCSC,39
1,COS4426SR,U8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,,COS4426SR,COSINE(科山芯创),C2685357,LCSC,40
1,LTC1871EMS#TRPBF,U10,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,LTC1871EMS#TRPBF,ADI(亚德诺),C459892,LCSC,41
,,,,,,,,,
