Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,No.
10,47uF,"C1,C2,C3,C4,C6,C32,C33,C40,C52,C53",CASE-D_7343,47uF,T491D476K025AT,KEMET(基美),C117039,LCSC,1
9,4.7uF,"C5,C28,C29,C34,C35,C47,C48,C56,C58",C0805,4.7uF,CL21B475KAFNNNE,SAMSUNG(三星),C98195,LCSC,2
32,100nF,"C7,C17,C36,C38,C50,C55,C60,C62,C63,C67,C68,C70,C72,C74,C79,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C92,C94,C95,C96,C97,C100,C101",C0201,100nF,GRM033C71C104KE14D,muRata(村田),C85923,LCSC,3
2,560uF,"C8,C9",CAP-SMD_BD10.0-L10.4-W10.4-LS11.2-FD,560uF,HVK-25V561MH10RQ-R2,TAIYO YUDEN(太诱),C19673857,LCSC,4
3,100nF,"C10,C24,C43",C0402,100nF,GRM155R71H104KE14D,muRata(村田),C77020,LCSC,5
7,100uF,"C11,C12,C13,C21,C31,C42,C51",C1206,100uF,GRM31CR61A107MEA8L,muRata(村田),C883598,LCSC,6
1,180pF,C14,C0603,180pF,CC0603JRNPO9BN181,YAGEO(国巨),C107041,LCSC,7
2,270uF,"C15,C18",CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,270uF,16SVPG270MX,PANASONIC,C2161621,LCSC,8
1,47nF,C16,C0201,47nF,GRM033R60J473JE19D,muRata,C3011685,LCSC,9
1,820pF,C19,C0201,820pF,GRM0335C1H821GE01D,muRata,C3886377,LCSC,10
3,1uF,"C20,C39,C41",C0603,1uF,EMK107B7105KA-T,TAIYO YUDEN(太诱),C92759,LCSC,11
3,6.8uF,"C22,C23,C54",C1206,6.8uF,TCC1206X7R685K250HT,CCTC(三环),C5449003,LCSC,12
7,22uF,"C25,C26,C30,C45,C46,C49,C57",C0805,22uF,GRM21BZ71A226ME15L,muRata(村田),C907991,LCSC,13
2,47pF,"C27,C44",C0201,47pF,GRM0335C1H470JA01D,muRata(村田),C85908,LCSC,14
10,10uF,"C37,C59,C61,C80,C91,C93,C98,C99,C102,C103",C0805,10uF,CL21B106KOQNNNE,SAMSUNG(三星),C95841,LCSC,15
2,1.2pF,"C64,C65",C0201,1.2pF,GRM0335C1H1R2BA01D,muRata(村田),C85895,LCSC,16
4,1uF,"C66,C73,C75,C78",C0201,1uF,GRM033R60J105KEA2D,muRata(村田),C76929,LCSC,17
2,10uF,"C69,C71",C0402,10uF,CL05A106MQ5NUNC,SAMSUNG(三星),C15525,LCSC,18
2,27pF,"C76,C77",C0201,27pF,GRM0335C1H270GA01D,muRata,C384976,LCSC,19
1,472192001,CARD1,TF-SMD_472192001,,472192001,MOLEX,C164170,LCSC,20
